id,bipartite,displayname,category
136705,person,Mnemosyne,F
103949,person,Valentinian,H
120337,person,Iren,U
120341,person,Unchurch,U
128533,person,Barker,L
103981,person,Abiathar,R
112174,person,Alexander,H
136749,person,Lord Herbert,L
136756,person,Francis Cradocke,L
136757,person,Pauls-Churchyard,L
128585,person,William Lilly,L
136780,person,Proteus,F
136788,person,Charles Wain,L
128607,person,Ascendant,U
120427,person,Davenant,L
136815,person,K Charles I,L
128641,person,Edward Massey,L
104078,person,Theophilus,R
104082,person,Donald,L
112274,person,Jane Lane,L
136855,person,Mercury,F
128676,person,Manasseh,R
112301,person,Archaeus,H
128688,person,Cottu,U
120499,person,Cerdoni,U
120508,person,Pompey,H
136910,person,Francis Gregory,L
136914,person,Fuller,L
112352,person,Apollinarius,H
112356,person,Francis Barkham,L
112361,person,John Brownlow,L
136952,person,Gunning,L
120574,person,Zebah,R
128767,person,Jeffery Daniel,L
136972,person,George Ewbancke,L
112411,person,His,U
112412,person,Apologet,U
128796,person,Gualt Bushnel,L
112418,person,Menander,H
120616,person,Day,L
104276,person,M Cawdrey,L
128865,person,Quixot,F
120673,person,Abchurch,U
104296,person,Ephraim,R
120683,person,Heraclius,H
112509,person,St Thomas,H
128900,person,Judas,R
137104,person,A.H,L
137109,person,Achurch,U
128920,person,William Nicol,L
120731,person,Cox,L
137116,person,Francis Earl,L
112540,person,Semen Ecclesiae,U
137125,person,Monica,H
128950,person,Ironside Et,H
112569,person,William Houlbrook,L
128960,person,Therammenes,H
104385,person,Belli,U
112584,person,Coim,U
112583,person,Moab,R
112586,person,Empusa,F
112591,person,John Earl Of Clare,L
128979,person,Thyatira,R
128985,person,Jehu,R
112604,person,Agamemnon,F
120797,person,Ceadda,H
104412,person,John Price,L
137188,person,John Swynfen,L
112615,person,Lord Of Holiness,R
104437,person,Mother Of Xerxes,H
137206,person,Nilus,F
129017,person,Crantore,H
112637,person,John Wall,L
129030,person,B D Pastor Of Kings-Norton,L
129042,person,Johnson,L
137249,person,Juda,R
120875,person,Ends In,U
104495,person,Jesus Christ,R
120883,person,Mr Fuller,L
129077,person,Mephibosheth,R
104504,person,Parenti,U
112708,person,Galen,H
137313,person,Phoebus,F
129123,person,Ralph Ashton,L
104552,person,Vespasian,H
137328,person,Countess Of Shrewsbury,L
120958,person,Eliahs Mantle,R
120963,person,John Lewis De Falcon,L
137349,person,Galileus,L
129158,person,Paul Knell,L
120977,person,Abaddon,R
129173,person,John Smart,L
104601,person,Martin Luther,L
120994,person,John The Baptist,R
120996,person,Wh●…Tehall,U
121002,person,Pashurs,R
104620,person,Trajan,H
121005,person,Theodosius,H
129201,person,Tacitus,H
121011,person,Jonah,R
137396,person,Pythagoras,H
104632,person,Greg Nazaire,H
112868,person,Pharisees,R
121073,person,William L,L
129266,person,Maragnon,U
137461,person,Gehazi,R
104701,person,Henry More,L
121085,person,Nola,H
121088,person,Wickliff,L
121093,person,Anne Micklethwait,L
137492,person,Frederick Cornwallis,L
121112,person,King,U
129305,person,Mary,R
137500,person,Burgh,U
137511,person,Tiberius Caesar,H
137515,person,Thomas Mitchell Thesaurer,L
121144,person,Arms Nor,U
121147,person,Martha Cary,L
104770,person,Prophet Ahijah,R
129345,person,Sinah,R
104776,person,Toby,R
137555,person,Nehemiah,R
121173,person,Elijah,R
112990,person,Boscobel,L
